[2025-10-05 20:20:38] [INFO    ] discord.client: logging in using static token
[2025-10-05 20:20:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-10-05 20:20:39] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-10-05 20:20:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1418312963332243646', 'username': 'Instagram downloader', 'avatar': '4ecca904cbef6c3f7464a281f24bd77b', 'discriminator': '3678', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-10-05 20:20:41] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-10-05 20:20:41] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-10-05 20:20:41] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1418312963332243646', 'name': 'Instagram downloader', 'icon': '4ecca904cbef6c3f7464a281f24bd77b', 'description': '', 'type': None, 'bot': {'id': '1418312963332243646', 'username': 'Instagram downloader', 'avatar': '4ecca904cbef6c3f7464a281f24bd77b', 'discriminator': '3678', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['bot', 'applications.commands'], 'permissions': '274878008320'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['bot', 'applications.commands'], 'permissions': '274878008320'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '551796eb181cb9a322eae0ccba4c4339f70abce873eb3f45e8829bd6bd1352a9', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '295954438747848704', 'username': 'drsoldier', 'avatar': 'a_37519a282fe59bf5e73eb63e59e9f54c', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': '165c0b4c2c16d406e1233201a33b9fb7', 'accent_color': None, 'global_name': 'Drsoldier', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 2, 'approximate_user_install_count': 1, 'approximate_user_authorization_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-10-05 20:20:41] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-10-05 20:20:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-2mrs",{"micros":0.0}]']}}
[2025-10-05 20:20:41] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-10-05 20:20:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-05 20:20:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Instagram downloader', 'primary_guild': None, 'mfa_enabled': True, 'id': '1418312963332243646', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '3678', 'clan': None, 'bot': True, 'avatar': '4ecca904cbef6c3f7464a281f24bd77b'}, 'session_type': 'normal', 'session_id': '19a03cde54c05863b67fbedabf161090', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '780005791230197800'}, {'unavailable': True, 'id': '812824612391878727'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['milan', 'frankfurt', 'warsaw', 'bucharest', 'paris'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1418312963332243646', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-c-2mrs",{"micros":81267,"calls":["id_created",{"micros":573,"calls":[]},"session_lookup_time",{"micros":584,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-164",{"micros":78990,"calls":["start_session",{"micros":74002,"calls":["discord-api-rpc-5cdf8c7555-fd7xj",{"micros":37319,"calls":["get_user",{"micros":6248},"get_guilds",{"micros":3374},"send_scheduled_deletion_message",{"micros":21},"guild_join_requests",{"micros":1326},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":30597},"apex_experiments",{"micros":251},"user_activities",{"micros":5},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":29,"calls":[]},"presence_started",{"micros":468,"calls":[]},"guilds_started",{"micros":66,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":4350,"calls":[]},"connect_finished",{"micros":4410,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-10-05 20:20:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-05 20:20:42] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 19a03cde54c05863b67fbedabf161090).
[2025-10-05 20:20:42] [DEBUG   ] discord.client: Dispatching event connect
